NOTE		 additional tests graciously provided by Chris Kuklewicz www.haskell.org 2009-02-02

:HA#01:E	a+				xaax		(1,3)
:HA#03:E	(a?)((ab)?)			ab		(0,2)(0,0)(0,2)(0,2)
:HA#04:E	(a?)((ab)?)(b?)			ab		(0,2)(0,1)(1,1)(?,?)(1,2)
:HA#05:E	((a?)((ab)?))(b?)		ab		(0,2)(0,2)(0,0)(0,2)(0,2)(2,2)
:HA#06:E	(a?)(((ab)?)(b?))		ab		(0,2)(0,1)(1,2)(1,1)(?,?)(1,2)
:HA#07:E	(.?)				x		(0,1)(0,1)
:HA#08:E	(.?){1}				x		(0,1)(0,1)
:HA#09:E	(.?)(.?)			x		(0,1)(0,1)(1,1)
:HA#10:E	(.?){2}				x		(0,1)(1,1)
:HA#11:E	(.?)*				x		(0,1)(0,1)
:HA#12:E	(.?.?)				xxx		(0,2)(0,2)
:HA#13:E	(.?.?){1}			xxx		(0,2)(0,2)
:HA#14:E	(.?.?)(.?.?)			xxx		(0,3)(0,2)(2,3)
:HA#15:E	(.?.?){2}			xxx		(0,3)(2,3)
:HA#16:E	(.?.?)(.?.?)(.?.?)		xxx		(0,3)(0,2)(2,3)(3,3)
:HA#17:E	(.?.?){3}			xxx		(0,3)(3,3)
:HA#18:E	(.?.?)*				xxx		(0,3)(2,3)
:HA#19:E	a?((ab)?)(b?)			ab		(0,2)(1,1)(?,?)(1,2)
:HA#20:E	(a?)((ab)?)b?			ab		(0,2)(0,1)(1,1)(?,?)
:HA#21:E	a?((ab)?)b?			ab		(0,2)(1,1)(?,?)
:HA#22:E	(a*){2}				xxxxx		(0,0)(0,0)
:HA#23:E	(ab?)(b?a)			aba		(0,3)(0,2)(2,3)
:HA#24:E	(a|ab)(ba|a)			aba		(0,3)(0,2)(2,3)
:HA#25:E	(a|ab|ba)			aba		(0,2)(0,2)
:HA#26:E	(a|ab|ba)(a|ab|ba)		aba		(0,3)(0,2)(2,3)
:HA#27:E	(a|ab|ba)*			aba		(0,3)(2,3)
