: transcribed from the tcl 8.3 Spencer reg tests 2005-06-06

# Copyright (c) 1998, 1999 Henry Spencer.  All rights reserved.

# basic sanity checks

BE	abc		abc		(0,3)
BE	abc		def		NOMATCH
BE	abc		xyabxabce	(5,8)

# basic syntax

BE	NULL		a		ENULL
BEz	NULL		a		(0,0)
E	a|		a		ENULL
Ez	a|		a		(0,1)
E	a|b		a		(0,1)
E	a|b		b		(0,1)
E	a||b		b		ENULL
Ez	a||b		b		(0,1)
BE	ab		ab		(0,2)

# parentheses

E	(a)e		ae		(0,2)(0,1)
E	(a)e		ae		(0,2)(0,1)
B	\(a\)b		ab		(0,2)(0,1)
E	a((b)c)		abc		(0,3)(1,3)(1,2)
E	a(b)(c)		abc		(0,3)(1,2)(2,3)
E	a(b		ab		EPAREN
B	a\(b		ab		EPAREN

# sigh, we blew it on the specs here... someday this will be fixed in POSIX,


# but meanwhile, it's fixed in AEs

E	a)b		a)b		(0,3)
E	a)b		a)b		(0,3)
B	a\)b		a)b		EPAREN
E	a(?:b)c		abc		(0,3)
E	a()b		ab		ENULL
Ez	a()b		ab		(0,2)(1,1)
E	a(?:)b		ab		(0,2)
E	a(|b)c		ac		ENULL
Ez	a(|b)c		ac		(0,2)(1,1)
E	a(b|)c		abc		ENULL
Ez	a(b|)c		abc		(0,3)(1,2)

# simple one-char matching


# general case of brackets done later

BE	a.b		axb		(0,3)
BEn$	a.b		a\nb		NOMATCH
BE$	a.b		a\nb		(0,3)
BE	a[bc]d		abd		(0,3)
BE	a[bc]d		acd		(0,3)
BE	a[bc]d		aed		NOMATCH
BE	a[^bc]d		abd		NOMATCH
BE	a[^bc]d		aed		(0,3)
BE$	a[^bc]d		a\nd		(0,3)
BEn$	a[^bc]d		a\nd		NOMATCH

# context-dependent syntax


# plus odds and ends

B	fix		reg.dat		NOMATCH
B	fix		reg.dat		NOMATCH
E	fix		reg.dat		NOMATCH
B	\(*\)		fix		NOMATCH
B	\(*\)		a		NOMATCH
E	(*)		fix		BADRPT
B	^*		^		NOMATCH
B	^*		fix		NOMATCH
B	^*		a		NOMATCH
B	^*		^*		NOMATCH
E	^*		^		(0,0)
B	\(^*\)		fix		NOMATCH
B	\(^*\)		a		NOMATCH
E	(^*)		fix		(0,0)(0,0)
B	$*		$		(0,1)
B	$*		a$z		(0,0)
B	$*		fix		(0,0)
B	$*		a*z		(0,0)
B	$*		$*		(0,1)
B	$*		a$*z		(0,0)
E	$*		$		(0,0)
BE	^b		^		NOMATCH
BE	^b		^b		NOMATCH
B	x^		x^		(0,2)
E	x^		x^		NOMATCH
Ebn$	^		x\nb		(2,2)
En$	\n^		x\nb		(1,2)
B	\(^b\)		^b		NOMATCH
E	(^b)		^b		NOMATCH
BE	x$		x		(0,1)
B	\(x$\)		x		(0,1)(0,1)
E	(x$)		x		(0,1)(0,1)
B	x$y		x$y		(0,3)
E	x$y		x$y		NOMATCH
BE	x$y		xy		NOMATCH
En$	x$\n		x\n		(0,2)
E	+		x		BADRPT
E	?		x		BADRPT

# simple quantifiers

BE	a*		aa		(0,2)
BE	a*		b		(0,0)
E	a+		aa		(0,2)
E	a?b		ab		(0,2)
E	a?b		zb		(1,2)
E	a?b		b		(0,1)
B	fix		reg.dat		NOMATCH
E	fix		reg.dat		NOMATCH
B	a**		aaa		(0,3)
E	a**		aaa		(0,3)
B	a**b		aab		(0,3)
E	a**b		aab		(0,3)
B	fix		reg.dat		NOMATCH
E	fix		reg.dat		NOMATCH
E	a++		aaa		BADRPT
E	a?+		aaa		BADRPT
E	a?*		aaa		(0,1)
E	a+*		aaa		(0,3)
E	a*+		aaa		BADRPT

# braces

E	a0		a1		NOMATCH
E	a0		a1		NOMATCH
E	a1		a0		NOMATCH
E	a1		a2		NOMATCH
E	a{257}		x		NOMATCH
E	a{1000}		x		NOMATCH
E	a{1		x		EBRACE
E	a{1n}		x		BADBR
B	a{b		a{b		(0,3)
E	a{b		a{b		BADBR
B	a{		a{		(0,2)
E	a{		a{		EBRACE
B	a\0b		a\1\b		BADESC
B	a\{0,1		x		EBRACE
E	a{0,1\		x		BADBR
E	a{0}b		ab		(1,2)
E	a0b		a0b		(0,3)
E	a0b		a1b		NOMATCH
E	a0b		a2b		NOMATCH
E	a0b		a2b		NOMATCH
E	a0b		ab		NOMATCH
E	a1b		a1b		(0,3)
E	a1b		a3b		NOMATCH
E	a1b		a3b		NOMATCH
E	a1b		ab		NOMATCH
E	a2b		a3b		NOMATCH
E	a2b		a3b		NOMATCH
E	a2b		ab		NOMATCH
E	a2b		ab		NOMATCH

# brackets

BE	a[bc]		ac		(0,2)
BE	a[-]		a-		(0,2)
BE	a[[.-.]]	a-		(0,2)
BE	a[0-[.9.]]	a2		(0,2)
BE	a[[=x=]]	ax		(0,2)
BE	a[[=x=]]	ay		NOMATCH
BE	a[[=x=]]	az		NOMATCH
BE	a[0-[=x=]]	x		ERANGE
BE	a[[:digit:]]	a0		(0,2)
BE	a[[:woopsie:]]	x		ECTYPE
BE	a[[:digit:]]	ab		NOMATCH
BE	a[0-[:digit:]]	x		NOMATCH
BE	[[:<:]]a	a		(0,1)
BE	a[[:>:]]	a		(0,1)
BE	a[[..]]b	x		ECOLLATE
BE	a[[==]]b	x		ECOLLATE
BE	a[[::]]b	x		ECTYPE
BE	a[[.a		x		ECOLLATE
BE	a[[=a		x		ECOLLATE
BE	a[[:a		x		ECTYPE
BE	a[		x		EBRACK
BE	a[b		x		EBRACK
BE	a[b-		x		EBRACK
BE	a[b-c		x		EBRACK
BE	a[b-c]		ab		(0,2)
BE	a[b-b]		ab		(0,2)
BE	a[1-2]		a2		(0,2)
BE	a[c-b]		x		ERANGE
BE	a[a-b-c]	x		ERANGE
BE	a[--?]b		a?b		(0,3)
BE	a[---]b		a-b		(0,3)
BE	a[]b]c		a]c		(0,3)
BE	a[]]b		a]b		(0,3)
BE	a[[b]c		a[c		(0,3)
BE	a[[b]c		abc		(0,3)

B	a[\]]b		a]b		NOMATCH
E	a[\]]b		a]b		NOMATCH
B	a[\]]b		a\]b		(0,4)
E	a[\]]b		a\]b		(0,4)
B	a[\\]b		a\b		(0,3)
E	a[\\]b		a\b		(0,3)
E	a[\\]b		a\b		(0,3)
B	a[\Z]b		a\b		(0,3)
E	a[\Z]b		a\b		(0,3)

Bv	a[\]]b		a]b		NOMATCH
Ev	a[\]]b		a]b		NOMATCH
Bv	a[\]]b		a\]b		(0,4)
Ev	a[\]]b		a\]b		(0,4)
Bv	a[\\]b		a\b		(0,3)
Ev	a[\\]b		a\b		(0,3)
Ev	a[\\]b		a\b		(0,3)
Bv	a[\Z]b		a\b		(0,3)
Ev	a[\Z]b		a\b		(0,3)

BE	a[[\b]c		a[c		(0,3)
BE	a[[\b]c		abc		(0,3)
BE	a[[\\b]c	abc		(0,3)
BE	a[[\Z]c		aZc		(0,3)
BE	a[[\b]c		a\c		(0,3)
BE	a[[\\b]c	a\c		(0,3)
BE	a[[\b]*c	a[c		(0,3)
BE	a[[\\b]*c	a[c		(0,3)
BE	a[[\b]*c	a[bc		(0,4)
BE	a[[\\b]*c	a[bc		(0,4)
BE	a[[\b]*c	a[c		(0,3)
BE	a[[\\b]*c	a[c		(0,3)
BE	a[[\b]*c	ab[c		(0,4)
BE	a[[\\b]*c	ab[c		(0,4)
E$	a[\xfe-\a][\xff-	a\x02\xfb	ERANGE

BEv	a[[\b]c		a[c		(0,3)
BEv	a[[\b]c		abc		NOMATCH
BEv	a[[\\b]c	abc		(0,3)
BEv	a[[\Z]c		aZc		(0,3)
BEv	a[[\b]c		a\c		NOMATCH
BEv	a[[\\b]c	a\c		(0,3)
BEv	a[[\b]*c	a[c		(0,3)
BEv	a[[\\b]*c	a[c		(0,3)
BEv	a[[\b]*c	a[bc		NOMATCH
BEv	a[[\\b]*c	a[bc		(0,4)
BEv	a[[\b]*c	a[c		(0,3)
BEv	a[[\\b]*c	a[c		(0,3)
BEv	a[[\b]*c	ab[c		NOMATCH
BEv	a[[\\b]*c	ab[c		(0,4)
E$v	a[\xfe-\a][\xff-	a\x02\xfb	ERANGE

# anchors and newlines

BE	^a		a		(0,1)
BEb	^a		a		NOMATCH
BE	^		a		(0,0)
BE	a$		aba		(2,3)
BEe	a$		a		NOMATCH
BE	$		ab		(2,2)
BEn	^a		a		(0,1)
BEn$	^a		b\na		(2,3)
BEnb$	^a		a\na		(2,3)
BEn	a$		a		(0,1)
BEn$	a$		a\nb		(0,1)
BEn$	a$		a\na		(0,1)
BEn$	b$		a\nb		(2,3)
B	^^		a		NOMATCH
B	^^		^		(0,1)
E	^^		a		(0,0)
E	^^		^		(0,0)
B	$$		$		(0,1)
E	$$		$		(1,1)
B	$$		a		NOMATCH
E	$$		a		(1,1)
BE	^$		NULL		(0,0)
BE	^$		a		NOMATCH
BEn$	^$		a\n\nb		(2,2)
B	$^		NULL		NOMATCH
E	$^		NULL		(0,0)
B	$^		$^		(0,2)
E	$^		$^		NOMATCH
E	\Aa		a		(0,1)
B	\Aa		a		(0,1)
Bn$	\\Aa		b\na		NOMATCH
B	a\Z		a		(0,1)
E	a\Z		a		(0,1)
Bn$	a\\Z		a\nb		NOMATCH
En$	a\\Z		a\nb		NOMATCH
E	^*		x		(0,0)
E	$*		x		(0,0)
E	\A*		x		BADRPT
E	\Z*		x		BADRPT

# boundary constraints

BE	[[:<:]]a	a		(0,1)
BE	[[:<:]]a	-a		(1,2)
BE	[[:<:]]a	ba		NOMATCH
BE	a[[:>:]]	a		(0,1)
BE	a[[:>:]]	a-		(0,1)
BE	a[[:>:]]	ab		NOMATCH
B	\<a		a		(0,1)
B	\<a		ba		NOMATCH
B	a\>		a		(0,1)
B	a\>		ab		NOMATCH
E	\ya		a		BADESC
E	\ya		ba		BADESC
E	a\y		a		BADESC
E	a\y		ab		BADESC
E	a\Y		ab		BADESC
E	a\Y		a-		BADESC
E	a\Y		a		BADESC
E	-\Y		-a		BADESC
E	-\Y		-%		BADESC
E	\Y-		a-		BADESC
