: X/Open regex tests 2010-11-22

# basic sanity

BEA	abracadabra$	abracadabracadabra	(7,18)
BEAi	aBrAcAdAbRa$	AbRaCaDaBrA		(0,11)
BEAi	aBrAc		1ABRA2abra3abrac	(11,16)
BEA	a...b		abababbb		(2,7)
BEA	XXXXXX		..XXXXXX		(2,8)

# "null" expressions

#BEA	NIL		NULL	BADPAT		ok, so it's not fair
B	\(\)		()	(0,0)(0,0)
B	\(\)*		()	(0,0)(0,0)
B	()		()	(0,2)
EA	)		()	(1,2)
EA	\)		()	(1,2)
EA	}		{}	(1,2)
BEA	a]		a]a	(0,2)

A	()*		()	(0,0)(0,0)
B	\(a		NULL	EPAREN
EA	(a		NULL	EPAREN
B	\)		NULL	EPAREN
B	\{		NULL	EBRACE
EA	{		NULL	EBRACE
B	\}		NULL	EBRACE
B	}		}	(0,1)
EA	\}		}	(0,1)
BEA	\]		]	(0,1)

# imbalance

B	[		[	EBRACK
B	]		]	(0,1)
EA	[		[	EBRACK
EA	]		]	(0,1)

B	{		{	(0,1)
B	}		}	(0,1)
EA	{		{	EBRACE
EA	}		}	(0,1)

B	(		(	(0,1)
B	)		)	(0,1)
EA	(		(	EPAREN
EA	)		)	(0,1)

# null subexpressions

{E	()		NULL	ENULL	NULL subexpressions are supported
BEA	NULL		NULL	ENULL
E	()*		NULL	ENULL
EA	|		NULL	ENULL
EA	(a|)		NULL	ENULL
EA	a||b		NULL	ENULL
E	()ef		NULL	ENULL
E	(a|)*		NULL	ENULL
E	(ab|)*		NULL	ENULL
E	(abc|)ef	NULL	ENULL
}

BEAz	NULL		-	(0,0)
Ez	()*		-	(0,0)(0,0)
EAz	|		-	(0,0)
EAz	(a|)		-	(0,0)(0,0)
EAz	a||b		-	(0,0)
Ez	()ef		ef	(0,2)(0,0)
Ez	(a|)*		-	(0,0)(0,0)
Ez	(ab|)*		-	(0,0)(0,0)
Ez	(abc|)ef	ef	(0,2)(0,0)
EAz	(abc|abcd)(d|)	abcd	(0,4)(0,4)(4,4)

# anchoring

BEA	^abc		xa	NOMATCH
BEA	^a		ax	(0,1)
BEA	\^a		a^a	(1,3)
BEA	a\^		a^	(0,2)
BEA	a$		aa$	NOMATCH
BEA	a$		aa	(1,2)
BEA	a\$		aa	NOMATCH
BEA	a\$		a$	(0,2)
BEA	^$		NULL	(0,0)

B	$^		$^	(0,2)
B	$^		NULL	NOMATCH
EA	$^		$^	NOMATCH
EA	$^		NULL	(0,0)

EA	x^a		x^a	NOMATCH
B	x^a		x^a	(0,3)
EA	$a		$a	NOMATCH
B	$a		$a	(0,2)
EAu	^*		a	(0,0)
B	^*		a	NOMATCH
B	^*		*	(0,1)
EA	(^)*		NULL	(0,0)(0,0)
EA	^(^)		NULL	(0,0)(0,0)
EA	a($)		aa	(1,2)(2,2)
EA	a*(^a)		aa	(0,1)(0,1)

B	\(\^\)		^	(0,1)(0,1)
B	\(\$\)		$	(0,1)(0,1)
B	$*		$$	(0,2)
EA	$*		$$	(0,0)

# twisted anchors

B	^a		a	(0,1)
B	^a		^a	NOMATCH
B	^*a		a	NOMATCH
B	^*a		^a	NOMATCH
B	^*a		*a	(0,2)
B	^*a		^*a	NOMATCH

B	^a		ba	NOMATCH
B	^a		b^a	NOMATCH
B	^*a		ba	NOMATCH
B	^*a		b^a	NOMATCH
B	^*a		b*a	NOMATCH
B	^*a		b^*a	NOMATCH

B	a$		a	(0,1)
B	a$		a$	NOMATCH
B	a$*		a*	(0,1)
B	a$*		a$*	(0,2)

B	a$b		ab	NOMATCH
B	a$b		a$b	(0,3)
B	a$*b		ab	(0,2)
B	a$*b		a$b	(0,3)
B	a$*b		a*b	NOMATCH
B	a$*b		a$*b	NOMATCH

E	^a		a	(0,1)
E	^a		^a	NOMATCH
Eu	^*a		a	(0,1)
Eu	^*a		^a	(1,2)
Eu	^*a		*a	(1,2)
Eu	^*a		^*a	(2,3)

E	^a		ba	NOMATCH
E	^a		b^a	NOMATCH
Eu	^*a		ba	(1,2)
Eu	^*a		b^a	(2,3)
Eu	^*a		b*a	(2,3)
Eu	^*a		b^*a	(3,4)

E	a$		a	(0,1)
E	a$		a$	NOMATCH
E	a$*		a$*	(0,1)
E	a$*		a*	(0,1)

E	a$b		ab	NOMATCH
E	a$b		a$b	NOMATCH
E	a$*b		ab	(0,2)
E	a$*b		a$b	NOMATCH
E	a$*b		a*b	NOMATCH
E	a$*b		a$*b	NOMATCH

# subexpression anchors

Bu	\(^a\)		a	(0,1)(0,1)
Bu	\(^a\)		^a	NOMATCH
Bu	\(^*a\)		a	NOMATCH
